No tarea,tipo,Territorio,Gestor,Estado,Localidad,folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,folio,FCO,dias
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,109,E02648_BP Centro,,158439,LIBRE,31/03/2020,14:11:53,1154146,32.525907,-117.034045,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,110,E05672_BP Insurgentes,,158440,LIBRE,31/03/2020,14:11:53,1154148,32.490586,-116.92727,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,172,E04805_BP Bayón,,158473,LIBRE,31/03/2020,14:11:53,1154211,32.514176,-116.888941,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,220,E10348_BP UABC,,158493,LIBRE,31/03/2020,14:11:53,1154264,32.531158,-116.958756,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,221,E02642_BP La Mesa,,158494,LIBRE,31/03/2020,14:11:54,1154265,32.503004,-116.972999,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,222,EA0004_BP La Cuesta,,158495,LIBRE,31/03/2020,14:11:54,1154266,32.481865,-117.00962,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,233,E12942_BP Viveros,,158503,LIBRE,31/03/2020,14:11:54,1154278,32.446422,-116.875244,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,234,EA0005_BP Playas,,158504,LIBRE,31/03/2020,14:11:54,1154279,32.53632,-117.09395,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,238,E12328_BP Díaz Ordaz,,158508,LIBRE,31/03/2020,14:11:54,1154283,32.485218,-116.944016,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,244,E12911_BP Galeana,,158511,LIBRE,31/03/2020,17:52:56,1154708,32.529804,-117.034952,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,271,E13395_BP San Antonio de los Buenos,,158527,LIBRE,31/03/2020,14:11:54,1154316,32.43728,-117.02215,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,330,E11678_BP Rancho Viejo,,158569,LIBRE,31/03/2020,14:11:54,1154366,32.538746,-117.02894,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,349,E11442_BP Peñasco,,158581,LIBRE,31/03/2020,17:36:12,1154656,32.53699,-117.03215,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,350,E12522_BP Buenavista,,158582,LIBRE,31/03/2020,14:11:54,1154381,32.521732,-116.986248,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,351,E08972_BP Otay,,158583,LIBRE,31/03/2020,14:11:54,1154382,32.54381,-116.93082,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,397,E11886_BP Juan Ruíz de Alarcón,,158613,LIBRE,31/03/2020,14:11:55,1154417,32.542633,-116.93019,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,-,-,En Abril Upaxer te regala gasolina 2020,447,EA0024_BP Playas Rosarito,,166127,LIBRE,31/03/2020,14:11:55,1154464,32.359867,-117.058716,-,-,2
