id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores,c,p
108207,PAX 108207,Verde [< 180 Días],26.01082424,-98.25558144,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88799,MEXICO
108330,PAX 108330,Verde [< 180 Días],26.01182424,-98.25458144,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88799,MEXICO
108352,PAX 108352,Verde [< 180 Días],26.01282424,-98.25358144,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88799,MEXICO
109061,PAX 109061,Verde [< 180 Días],26.01382424,-98.25258144,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88799,MEXICO
121806,PAX 121806,Verde [< 180 Días],26.01482424,-98.25158144,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,88799,MEXICO
118770,PAX 118770,Verde [< 180 Días],19.02266557,-98.25880317,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72825,MEXICO
119233,PAX 119233,Verde [< 180 Días],19.02366557,-98.25780317,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72825,MEXICO
107279,PAX 107279,Verde [< 180 Días],19.03503187,-98.25840686,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72824,MEXICO
108346,PAX 108346,Verde [< 180 Días],26.06142902,-98.25862191,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88684,MEXICO
117081,PAX 117081,Verde [< 180 Días],18.98896,-98.255818,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72491,MEXICO
108545,PAX 108545,Verde [< 180 Días],19.0634074,-98.25370531,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72150,MEXICO
109479,PAX 109479,Verde [< 180 Días],19.0644074,-98.25270531,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72150,MEXICO
117183,PAX 117183,Verde [< 180 Días],19.0654074,-98.25170531,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72150,MEXICO
107849,PAX 107849,Verde [< 180 Días],26.01238147,-98.24720366,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88795,MEXICO
117347,PAX 117347,Verde [< 180 Días],26.01338147,-98.24620366,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,88795,MEXICO
117758,PAX 117758,Verde [< 180 Días],26.01438147,-98.24520366,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,88795,MEXICO
121927,PAX 121927,Verde [< 180 Días],26.01538147,-98.24420366,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,88795,MEXICO
107840,PAX 107840,Verde [< 180 Días],26.01585425,-98.24822799,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88777,MEXICO
108016,PAX 108016,Verde [< 180 Días],26.01685425,-98.24722799,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88777,MEXICO
112093,PAX 112093,Verde [< 180 Días],19.3119744,-98.24544277,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,90013,MEXICO
106706,PAX 106706,Verde [< 180 Días],18.9936377,-98.22890794,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72490,MEXICO
107276,PAX 107276,Verde [< 180 Días],18.9946377,-98.22790794,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72490,MEXICO
107280,PAX 107280,Verde [< 180 Días],18.9956377,-98.22690794,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72490,MEXICO
109319,PAX 109319,Verde [< 180 Días],18.9966377,-98.22590794,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72490,MEXICO
116989,PAX 116989,Verde [< 180 Días],18.9976377,-98.22490794,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72490,MEXICO
118981,PAX 118981,Verde [< 180 Días],18.9986377,-98.22390794,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72490,MEXICO
119281,PAX 119281,Verde [< 180 Días],18.9996377,-98.22290794,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72490,MEXICO
119459,PAX 119459,Verde [< 180 Días],19.0006377,-98.22190794,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72490,MEXICO
120650,PAX 120650,Verde [< 180 Días],19.0016377,-98.22090794,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72490,MEXICO
118571,PAX 118571,Verde [< 180 Días],19.00648029,-98.24297558,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72464,MEXICO
115749,PAX 115749,Verde [< 180 Días],18.99068409,-98.24114091,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72480,MEXICO
116689,PAX 116689,Verde [< 180 Días],18.99168409,-98.24014091,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72480,MEXICO
107176,PAX 107176,Verde [< 180 Días],18.97264908,-98.24067692,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72495,MEXICO
