id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores
103858,PAX 103858,1. Naranja [dos trimestres],29.07090805,-110.9377743,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
86740,PAX 86740,1. Naranja [dos trimestres],31.3005987,-110.9101679,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
32821,PAX 32821,1. Naranja [dos trimestres],27.93651147,-110.8812897,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
43194,PAX 43194,1. Naranja [dos trimestres],24.14288148,-110.3318527,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
83161,PAX 83161,1. Naranja [dos trimestres],24.09925542,-110.3212956,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
117483,PAX 117483,1. Naranja [dos trimestres],24.10025542,-110.3202956,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
69003,PAX 69003,1. Naranja [dos trimestres],24.15563154,-110.3146433,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
108889,PAX 108889,1. Naranja [dos trimestres],24.14859461,-110.3143907,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
102391,PAX 102391,1. Naranja [dos trimestres],24.14959461,-110.3133907,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
101965,PAX 101965,1. Naranja [dos trimestres],24.10364873,-110.309989,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
51689,PAX 51689,1. Naranja [dos trimestres],30.98384224,-110.2952504,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
100987,PAX 100987,1. Naranja [dos trimestres],27.48827012,-109.9920055,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
98760,PAX 98760,1. Naranja [dos trimestres],27.4957795,-109.9551898,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
115778,PAX 115778,1. Naranja [dos trimestres],27.4766713,-109.9537862,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
91128,PAX 91128,1. Naranja [dos trimestres],22.9075762,-109.953737,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
98885,PAX 98885,1. Naranja [dos trimestres],22.9085762,-109.952737,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
108718,PAX 108718,1. Naranja [dos trimestres],27.51170134,-109.9507465,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
65910,PAX 65910,1. Naranja [dos trimestres],27.45344298,-109.9464234,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
51424,PAX 51424,1. Naranja [dos trimestres],22.89508027,-109.9335986,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
15560,PAX 15560,1. Naranja [dos trimestres],27.57230593,-109.9329472,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
92742,PAX 92742,1. Naranja [dos trimestres],27.57330593,-109.9319472,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
99478,PAX 99478,1. Naranja [dos trimestres],22.89390276,-109.9321675,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
101272,PAX 101272,1. Naranja [dos trimestres],22.93509396,-109.9305066,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
102410,PAX 102410,1. Naranja [dos trimestres],22.90517278,-109.9271303,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
107841,PAX 107841,1. Naranja [dos trimestres],27.4400548,-109.9269832,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
60524,PAX 60524,1. Naranja [dos trimestres],27.45015575,-109.921771,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
95568,PAX 95568,1. Naranja [dos trimestres],22.88851565,-109.9144331,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
99014,PAX 99014,1. Naranja [dos trimestres],22.90126817,-109.9099279,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
106363,PAX 106363,1. Naranja [dos trimestres],23.06924625,-109.711818,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
96188,PAX 96188,1. Naranja [dos trimestres],30.37173,-109.6932233,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
1743,PAX 1743,1. Naranja [dos trimestres],31.3152781,-109.5479613,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
28,PAX 28,1. Naranja [dos trimestres],27.06351727,-109.4598767,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
97765,PAX 97765,1. Naranja [dos trimestres],25.80360163,-109.0236482,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
2444,PAX 2444,1. Naranja [dos trimestres],25.77771072,-109.0166585,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
74839,PAX 74839,1. Naranja [dos trimestres],25.79683637,-109.0063106,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
98474,PAX 98474,1. Naranja [dos trimestres],25.7773177,-108.9932245,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
105543,PAX 105543,1. Naranja [dos trimestres],27.02678936,-108.9377738,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
101538,PAX 101538,1. Naranja [dos trimestres],25.56345931,-108.4831233,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
75445,PAX 75445,1. Naranja [dos trimestres],25.5623774,-108.4617265,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
102500,PAX 102500,1. Naranja [dos trimestres],25.5633774,-108.4607265,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
98560,PAX 98560,1. Naranja [dos trimestres],25.58454827,-108.4597965,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
12101,PAX 12101,1. Naranja [dos trimestres],25.43782927,-108.0641494,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
95451,PAX 95451,1. Naranja [dos trimestres],30.44226504,-107.9098112,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
94131,PAX 94131,1. Naranja [dos trimestres],30.40031071,-107.9064536,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
103687,PAX 103687,1. Naranja [dos trimestres],30.38586105,-107.8795571,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
84741,PAX 84741,1. Naranja [dos trimestres],30.38261315,-107.8738634,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
105456,PAX 105456,1. Naranja [dos trimestres],24.81840506,-107.4760772,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
1502,PAX 1502,1. Naranja [dos trimestres],24.80663181,-107.4491504,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
101273,PAX 101273,1. Naranja [dos trimestres],24.80763181,-107.4481504,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
105712,PAX 105712,1. Naranja [dos trimestres],24.83600381,-107.4211903,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
97203,PAX 97203,1. Naranja [dos trimestres],24.82361799,-107.4003595,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
2933,PAX 2933,1. Naranja [dos trimestres],24.78257803,-107.3952074,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
21924,PAX 21924,1. Naranja [dos trimestres],24.86367627,-107.3924556,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
102431,PAX 102431,1. Naranja [dos trimestres],24.8350347,-107.3912966,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
102082,PAX 102082,1. Naranja [dos trimestres],24.8360347,-107.3902966,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
8886,PAX 8886,1. Naranja [dos trimestres],24.84287323,-107.3890379,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
83737,PAX 83737,1. Naranja [dos trimestres],24.84387323,-107.3880379,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
91600,PAX 91600,1. Naranja [dos trimestres],24.79470613,-107.3830493,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
93227,PAX 93227,1. Naranja [dos trimestres],24.83522915,-107.3820811,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
75895,PAX 75895,1. Naranja [dos trimestres],24.80463387,-107.3734444,SEP [2019],3Q 2019,Activo,MS Pago en último semestre
