id,nombre,concat,edo,mun,latitude,longitude,tipo
730,DAZ SAN SALVADOR EL SECO,730 - DAZ SAN SALVADOR EL SECO,Puebla,San Salvador el Seco,19.135224,-97.643038,Banco Azteca
732,DAZ CAZONES DE HERRERA,732 - DAZ CAZONES DE HERRERA,Veracruz de Ignacio de la Llave,Cazones de Herrera,20.706373,-97.309859,Banco Azteca
733,DAZ VALPARAISO,733 - DAZ VALPARAISO,Zacatecas,Valparaíso,22.773613,-103.565206,Banco Azteca
734,DAZ VILLANUEVA,734 - DAZ VILLANUEVA,Zacatecas,Villanueva,22.354626,-102.884163,Banco Azteca
736,DAZ CERRITOS,736 - DAZ CERRITOS,San Luis Potosí,Cerritos,22.431364,-100.285811,Banco Azteca
737,DAZ SAN FELIPE ORIZATLAN,737 - DAZ SAN FELIPE ORIZATLAN,Hidalgo,San Felipe Orizatlán,21.169856,-98.612159,Banco Azteca
739,DAZ GUTIERREZ ZAMORA,739 - DAZ GUTIERREZ ZAMORA,Veracruz de Ignacio de la Llave,Gutiérrez Zamora,20.451597,-97.084059,Banco Azteca
740,DAZ JESUS CARRANZA,740 - DAZ JESUS CARRANZA,Veracruz de Ignacio de la Llave,Jesús Carranza,17.431668,-95.0246,Banco Azteca
743,DAZ TULUM,743 - DAZ TULUM,Quintana Roo,Tulum,20.208661,-87.459969,Banco Azteca
744,DAZ TEQUIXQUIAC,744 - DAZ TEQUIXQUIAC,México,Tequixquiac,19.9099,-99.145904,Banco Azteca
745,DAZ TEMASCALTEPEC,745 - DAZ TEMASCALTEPEC,México,Temascaltepec,19.0441667,-100.0418889,Banco Azteca
746,DAZ TRES MARIAS,746 - DAZ TRES MARIAS,Morelos,Huitzilac,19.047411,-99.239325,Banco Azteca
747,DAZ QUECHULTENANGO,747 - DAZ QUECHULTENANGO,Guerrero,Quechultenango,17.414985,-99.24133,Banco Azteca
748,DAZ PASO DEL MACHO,748 - DAZ PASO DEL MACHO,Veracruz de Ignacio de la Llave,Paso del Macho,18.969919,-96.723061,Banco Azteca
749,DAZ LOMBARDIA,749 - DAZ LOMBARDIA,Michoacán de Ocampo,Gabriel Zamora,19.161851,-102.056473,Banco Azteca
751,DAZ UNION DE TULA,751 - DAZ UNION DE TULA,Jalisco,Unión de Tula,19.956643,-104.268539,Banco Azteca
752,DAZ SAN LUIS TEOLOCHOLCO,752 - DAZ SAN LUIS TEOLOCHOLCO,Tlaxcala,Teolocholco,19.24482,-98.191864,Banco Azteca
753,DAZ PEDRO ESCOBEDO QUERETARO,753 - DAZ PEDRO ESCOBEDO QUERETARO,Querétaro,Pedro Escobedo,20.4995,-100.142,Banco Azteca
755,DAZ EDO MEX TECAMAC,755 - DAZ EDO MEX TECAMAC,México,Tecámac,19.765666,-98.974227,Banco Azteca
757,DAZ SAN BLAS,757 - DAZ SAN BLAS,Nayarit,San Blas,21.541407,-105.285696,Banco Azteca
758,DAZ CUERAMARO,758 - DAZ CUERAMARO,Guanajuato,Cuerámaro,20.628971,-101.670481,Banco Azteca
759,DAZ SENGUIO,759 - DAZ SENGUIO,Michoacán de Ocampo,Senguio,19.732347,-100.352912,Banco Azteca
770,BA MEGA MUZQUIZ,770 - BA MEGA MUZQUIZ,Coahuila de Zaragoza,Múzquiz,27.879002,-101.516198,Banco Azteca
783,BA MEGA ARANDAS,783 - BA MEGA ARANDAS,Jalisco,Arandas,20.705182,-102.343318,Banco Azteca
800,DAZ BACOBAMPO,800 - DAZ BACOBAMPO,Sonora,Etchojoa,26.986295,-109.653031,Banco Azteca
801,DAZ PASTOR ORTIZ MICHOACAN,801 - DAZ PASTOR ORTIZ MICHOACAN,Michoacán de Ocampo,José Sixto Verduzco,20.302731,-101.595859,Banco Azteca
806,BA EKT CUAUTITLAN,806 - BA EKT CUAUTITLAN,México,Cuautitlán,19.669216,-99.181394,Banco Azteca
814,DAZ INSURGENTES TONALA,814 - DAZ INSURGENTES TONALA,Ciudad de México,Cuauhtémoc,19.423014,-99.163843,Banco Azteca
819,BA MEGA SANTIAGO IXCUINTLA,819 - BA MEGA SANTIAGO IXCUINTLA,Nayarit,Santiago Ixcuintla,21.808622,-105.207115,Banco Azteca
822,BA MEGA CIUDAD ACUÑA,822 - BA MEGA CIUDAD ACUÑA,Coahuila de Zaragoza,Acuña,29.314979,-100.931306,Banco Azteca
835,BA MEGA SANTA MARIA MONTERREY,835 - BA MEGA SANTA MARIA MONTERREY,Nuevo León,Guadalupe,25.657298,-100.187956,Banco Azteca
895,Atlapulco,895 - Atlapulco,Ciudad de México,Xochimilco,19.25345,-99.059141,NETO
896,Argentina,896 - Argentina,Ciudad de México,Miguel Hidalgo,19.452005,-99.201332,NETO
