No tarea,tipo,Territorio,Gestor,Estado,Localidad,Folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,Folio,FCO,dias
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA SUR,PAZ LA,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,CAP LA PAZ,CAP LA PAZ PAZ,PAX108889,61687,ASIGNADA POR SISTEMA,10/12/2019,13:16:29,1040761,24.153411,-110.304476,19102161,20/12/2019,0
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA SUR,PAZ LA,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,CPL_LAP_NOR_005,PRM TDA LA PAZ PLAZA NAUTICA,PAX108889,62116,ASIGNADA POR SISTEMA,10/12/2019,13:16:29,1065125,24.143533,-110.332588,19102161,20/12/2019,0
3,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA SUR,PAZ LA,19081847,13/12/2019,Este año Evalúa valida y gana en un Taller 2019 2,2730,2730-MARCO ANTONIO ORTEGA ALVAREZ,alirae,105734,ASIGNADA POR SISTEMA,09/12/2019,15:38:04,1085046,24.139563,-110.32329,19081847,13/12/2019,1
3,Sin Terminar,Norte,Isai ,BAJA CALIFORNIA SUR,PAZ LA,19071665,30/09/2019,Este año sé El Motociclista Misterioso,2730,2730-MARCO ANTONIO ORTEGA ALVAREZ,alirae,105734,ASIGNADA POR SISTEMA,25/11/2019,14:32:51,1077010,24.139563,-110.32329,19071665,30/09/2019,15
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA SUR,PAZ LA,19112383,20/12/2019,Este Diciembre Upaxer te regala gasolina,477,E10082_BP 5 De Febrero,PAX65189,174179,ASIGNADA POR SISTEMA,03/12/2019,19:19:48,1082046,24.142544,-110.31404,19112383,20/12/2019,7
1,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA SUR,PAZ LA,19100087,20/12/2019,Gana dinero pidiendo información de productos en un banco 4-2019,5429,BA MEGA LA PAZ OCAMPO,PAX43194,69406,ASIGNADA POR SISTEMA,09/12/2019,18:54:28,1062964,24.15809,-110.31659,19100087,20/12/2019,1
1,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA SUR,PAZ LA,19100095,20/12/2019,Realiza un envío de dinero y cambia un billete y di que tienes un Billete de 20 roto de una esquina,8190,DAZ LA PAZ,PAX43194,68740,ASIGNADA POR SISTEMA,09/12/2019,18:55:00,1082909,24.146993,-110.308765,19100095,20/12/2019,1
1,Sin Terminar,Sur,Claudia Veronica,CAMPECHE,CAMPECHE,19081842,13/12/2019,En Diciembre Conoce el precio de andar en moto,24040,24040_Motosuministros S.A. De C.V.,PAX43734,177783,ASIGNADA POR SISTEMA,09/12/2019,19:07:51,1086856,19.832514,-90.556755,19081842,13/12/2019,1
2,Sin Terminar,Sur,Claudia Veronica,CAMPECHE,CARMEN,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,,PRE CVSUR SORIANA CD CARMEN,PAX109378,80641,ASIGNADA POR SISTEMA,09/12/2019,14:51:59,1087320,18.651106,-91.80579,19102161,20/12/2019,1
2,Sin Terminar,Sur,Claudia Veronica,CAMPECHE,CARMEN,19112383,20/12/2019,Este Diciembre Upaxer te regala gasolina,301,E11305_BP Carmen,PAX81577,158547,ASIGNADA POR SISTEMA,08/12/2019,00:19:32,1087351,18.655403,-91.786981,19112383,20/12/2019,2
3,Sin Terminar,Sur,Natali,CAMPECHE,CHAMPOTON,19071665,30/09/2019,Este año sé El Motociclista Misterioso,3983,3983-MIGUEL ANGEL CASAZZA MORAYTA,alirae,106075,ASIGNADA POR SISTEMA,26/11/2019,14:13:37,1050779,19.35067,-90.723564,19071665,30/09/2019,14
3,Sin Terminar,Sur,Natali,CHIAPAS,ARRIAGA,19071665,30/09/2019,Este año sé El Motociclista Misterioso,2925,2925-SERVICIOS INTEGRALES FINANCIEROS COMITLAN SA DE CV,PAX13653,106286,ASIGNADA POR SISTEMA,26/11/2019,14:07:03,1065813,16.234266,-93.896636,19071665,30/09/2019,14
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,BOCHIL,19120048,20/12/2019,En Diciembre descubre cuánto vale tu prenda de Oro,1265,DAZ BOCHIL (1265),PAX83900,118228,TOMADA POR USUARIO,09/12/2019,12:10:43,1080359,16.996926,-92.890158,19120048,20/12/2019,1
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,CACAHOATAN,19100095,20/12/2019,Realiza un depósito a una cuenta  y cambia un billete y di que tienes una Moneda de 50 pesos,9856,Cacahoatan,PAX64529,3498,ASIGNADA POR SISTEMA,10/12/2019,11:19:57,1085212,14.989294,-92.16725,19100095,20/12/2019,0
3,Sin Terminar,Sur,Natali,CHIAPAS,CHIAPA DE CORZO,19071665,30/09/2019,Este año sé El Motociclista Misterioso,4680,4680 MOTOSERVICIO GUTIERREZ,PAX106897,174857,ASIGNADA POR SISTEMA,21/11/2019,13:45:26,1065904,16.706357,-93.01566,19071665,30/09/2019,19
3,Sin Terminar,Sur,Natali,CHIAPAS,CINTALAPA,19071665,30/09/2019,Este año sé El Motociclista Misterioso,2870,2870 - CARLOS REYES CRUZ,PAX13653,170179,ASIGNADA POR SISTEMA,26/11/2019,14:07:03,1065887,16.695738,-93.72267,19071665,30/09/2019,14
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,ESCUINTLA,19100087,20/12/2019,Gana dinero pidiendo información de productos en un banco 4-2019,9861,Escuintla,PAX87858,3561,ASIGNADA POR SISTEMA,10/12/2019,11:16:37,1087638,15.319742,-92.65818,19100087,20/12/2019,0
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,HUIXTLA,19100087,20/12/2019,Gana dinero pidiendo información de productos en un banco 4-2019,1258,BA EKT HUIXTLA 2 AVE CENTRAL,PAX64529,69794,ASIGNADA POR SISTEMA,10/12/2019,11:17:08,1087579,15.139696,-92.464526,19100087,20/12/2019,0
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,HUIXTLA,19100087,20/12/2019,Gana dinero pidiendo información de productos en un banco 4-2019,4684,BA PRESTA PRENDA HUIXTLA,PAX87858,68896,ASIGNADA POR SISTEMA,20/11/2019,19:26:54,1069969,15.138768,-92.464739,19100087,20/12/2019,20
3,Sin Terminar,Sur,Margarita Rios,CHIAPAS,MARGARITAS  LAS,19081847,13/12/2019,Este año Evalúa valida y gana en un Taller 2019 2,2700,2700-SERVICIOS FINANCIERO INTEGRALES COMITLAN SA DE CV,alirae,105724,ASIGNADA POR SISTEMA,02/12/2019,08:24:49,1082888,16.312284,-91.981674,19081847,13/12/2019,8
3,Sin Terminar,Sur,Natali,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,19071665,30/09/2019,Este año sé El Motociclista Misterioso,3996,3996-MOTOSERVICIO TECNICO KARIKAR,PAX106918,106380,ASIGNADA POR SISTEMA,21/11/2019,17:48:56,1065868,16.758932,-93.374168,19071665,30/09/2019,19
3,Sin Terminar,Sur,Natali,CHIAPAS,PALENQUE,19071665,30/09/2019,Este año sé El Motociclista Misterioso,4681,4681 GIOVANNI RAUL MAY TZUN,PAX73237,173554,ASIGNADA POR SISTEMA,15/11/2019,13:23:16,1039565,17.509062,-91.97929,19071665,30/09/2019,25
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,PUEBLO NUEVO SOLISTAHUACAN,19100079,20/12/2019,Gana dinero pidiendo información de un crédito en un banco 4-2019,8183,DAZ MIGO PUEBLO NUEVO SOLISTAHUACAN,PAX62066,68731,ASIGNADA POR SISTEMA,29/11/2019,13:28:23,1073658,17.157873,-92.897549,19100079,20/12/2019,11
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,PUEBLO NUEVO SOLISTAHUACAN,19100095,20/12/2019,Realiza un depósito a una cuenta y cambia un billete y di que tienes Billete de 20 del año 1950,8183,DAZ MIGO PUEBLO NUEVO SOLISTAHUACAN,PAX62066,68731,ASIGNADA POR SISTEMA,29/11/2019,13:29:22,1073970,17.157873,-92.897549,19100095,20/12/2019,11
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,REFORMA,19120048,20/12/2019,En Diciembre descubre cuánto vale tu prenda de Oro,6107,PRESTA PRENDA MICROEKT CHIAPAS REFORMA (6107),PAX71258,121720,TOMADA POR USUARIO,09/12/2019,10:48:54,1087919,17.863834,-93.14874,19120048,20/12/2019,1
3,Sin Terminar,Sur,Natali,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,19071665,30/09/2019,Este año sé El Motociclista Misterioso,2935,2935-SERVICIOS INTEGRALES FINANCIEROS COMITAN SA DE CV,PAX83900,105850,ASIGNADA POR SISTEMA,06/12/2019,19:01:52,1065816,16.712633,-92.633433,19071665,30/09/2019,4
3,Sin Terminar,Sur,Natali,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,19071665,30/09/2019,Este año sé El Motociclista Misterioso,3340,3340-MOTO SERVICIO JIMENO,PAX83900,105947,ASIGNADA POR SISTEMA,09/12/2019,15:06:32,1065840,16.73687,-92.64523,19071665,30/09/2019,1
3,Sin Terminar,Sur,Natali,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,19071665,30/09/2019,Este año sé El Motociclista Misterioso,9910,9910 BLANCA LUZ HERNANDEZ NAVARRO,PAX83900,166930,ASIGNADA POR SISTEMA,09/12/2019,15:06:32,1065884,16.755127,-92.654915,19071665,30/09/2019,1
2,Sin Terminar,Sur,Margarita Rios,CHIAPAS,SAN FERNANDO,19112383,20/12/2019,Este Diciembre Upaxer te regala gasolina,352,E13499_BP Cañón del Sumidero,PAX65469,158584,ASIGNADA POR SISTEMA,10/12/2019,10:50:57,1088089,16.85192,-93.19766,19112383,20/12/2019,0
1,Sin Terminar,Sur,Margarita Rios,CHIAPAS,SIMOJOVEL,19100087,20/12/2019,Gana dinero pidiendo información de productos en un banco 4-2019,8999,DAZ SIMOJOVEL,PAX62066,70617,ASIGNADA POR SISTEMA,29/11/2019,13:28:01,1073933,17.140767,-92.716453,19100087,20/12/2019,11
