No tarea,tipo,Territorio,Gestor,Estado,Localidad,Folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,Folio,FCO,dias
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,1514,BA EKT TIJUANA EL RUBI (1514),PAX61255,118826,TOMADA POR USUARIO,01/04/2020,16:07:02,1153190,32.484917,-117.03492,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2005,BA EKT TIJUANA CUCAPAH (2005),PAX61255,118817,TOMADA POR USUARIO,01/04/2020,16:08:04,1153224,32.513353,-116.869967,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2150,BA EKT TIJUANA 3 CONSTITUCION (2150),PAX115705,118823,TOMADA POR USUARIO,01/04/2020,14:08:55,1153265,32.534442,-117.038373,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,3117,BA EKT TIJUANA 4 NIÑOS HEROES (3117),PAX61255,118821,TOMADA POR USUARIO,01/04/2020,16:08:27,1153345,32.535135,-117.042597,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,3450,BA EKT TIJUANA 1 LUNA PARK (3450),PAX102084,118811,TOMADA POR USUARIO,01/04/2020,15:38:45,1153356,32.484806,-116.94111,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,3751,BA MEGA TIJUANA LAS BRISAS (3751),PAX102084,118810,TOMADA POR USUARIO,01/04/2020,15:38:22,1153364,32.494598,-116.958483,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5142,BA PRESTA PRENDA GUAYCURA TIJUANA (5142),PAX61255,120250,TOMADA POR USUARIO,01/04/2020,16:07:32,1153882,32.506554,-116.91754,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5830,BA MEGA TIJUANA SOLER (5830),PAX115705,118824,TOMADA POR USUARIO,01/04/2020,14:09:29,1153483,32.530928,-117.072466,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,6014,BA EKT LOS PINOS TIJUANA (6014),PAX102084,118818,TOMADA POR USUARIO,01/04/2020,15:39:11,1153493,32.463154,-116.928614,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200100123,05/04/2020,Gana dinero pidiendo información de un crédito del banco_1,3428,DAZ TIJUANA LIBERTAD,PAX115705,70770,TOMADA POR USUARIO,31/03/2020,11:45:30,1153107,32.540303,-117.020457,200100123,05/04/2020,2
