id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores
105860,PAX 105860,Solo Conekta,20.55107829,-102.5184216,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
89619,PAX 89619,Solo Conekta,22.82017946,-102.4066949,DIC [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
101764,PAX 101764,Solo Conekta,19.11292381,-102.3705664,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
104844,PAX 104844,Solo Conekta,21.96617715,-102.3598265,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
102390,PAX 102390,Solo Conekta,21.86518248,-102.3307508,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
104063,PAX 104063,Solo Conekta,21.87157006,-102.3189466,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
102720,PAX 102720,Solo Conekta,21.86840156,-102.3108735,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
102465,PAX 102465,Solo Conekta,21.86940156,-102.3098735,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
74372,PAX 74372,Solo Conekta,21.87040156,-102.3088735,NOV [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
103371,PAX 103371,Solo Conekta,21.89121854,-102.3096565,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
103478,PAX 103478,Solo Conekta,21.89221854,-102.3086565,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
104231,PAX 104231,Solo Conekta,21.89321854,-102.3076565,SEP [2019],3Q 2019,Activos,Solo Conekta Pago en último semestre
84777,PAX 84777,Solo Conekta,19.99928699,-102.2997115,DIC [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
102287,PAX 102287,Solo Conekta,21.84243496,-102.2998154,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
104837,PAX 104837,Solo Conekta,19.97403977,-102.294578,OCT [2019],4Q 2019,Activos,Solo Conekta Pago en último semestre
